trainNumber,departureDate,operatorUICCode,operatorShortCode,trainType,trainCategory,commuterLineID,runningCurrently,cancelled,version,timetableType,timetableAcceptanceDate,stationShortCode,stationUICCode,countryCode,type,trainStopping,commercialStop,commercialTrack,scheduledTime,actualTime,differenceInMinutes,causes,trainReady.source,trainReady.accepted,trainReady.timestamp,liveEstimateTime,estimateSource
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,HKI,1,FI,DEPARTURE,True,True,8,2020-01-01T11:19:00.000Z,2020-01-01T11:20:27.000Z,1,[],KUPLA,True,2020-01-01T11:14:46.000Z,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,PSL,10,FI,ARRIVAL,True,True,4,2020-01-01T11:24:00.000Z,2020-01-01T11:25:24.000Z,1,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,PSL,10,FI,DEPARTURE,True,True,4,2020-01-01T11:25:00.000Z,2020-01-01T11:27:10.000Z,2,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,KÄP,977,FI,ARRIVAL,False,NA,,2020-01-01T11:27:00.000Z,2020-01-01T11:29:21.000Z,2,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,KÄP,977,FI,DEPARTURE,False,NA,,2020-01-01T11:27:00.000Z,2020-01-01T11:29:21.000Z,2,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,OLK,15,FI,ARRIVAL,False,NA,,2020-01-01T11:28:00.000Z,2020-01-01T11:30:08.000Z,2,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,OLK,15,FI,DEPARTURE,False,NA,,2020-01-01T11:28:00.000Z,2020-01-01T11:30:08.000Z,2,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,PMK,551,FI,ARRIVAL,False,NA,,2020-01-01T11:29:11.000Z,2020-01-01T11:31:01.000Z,2,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,PMK,551,FI,DEPARTURE,False,NA,,2020-01-01T11:29:11.000Z,2020-01-01T11:31:01.000Z,2,[],NA,NA,NA,NA,NA
5,2020-01-01,10,vr,IC,Long-distance,,False,False,266074906350,REGULAR,2019-11-08T10:34:22.000Z,ML,17,FI,ARRIVAL,False,NA,2,2020-01-01T11:30:00.000Z,2020-01-01T11:31:48.000Z,2,[],NA,NA,NA,NA,NA
